@RELATION stars

@ATTRIBUTE object_id STRING
@ATTRIBUTE spectral_class NUMERIC
@ATTRIBUTE luminosity_class NUMERIC
@ATTRIBUTE motion_type NUMERIC
@ATTRIBUTE v_magnitude NUMERIC
@ATTRIBUTE parallax NUMERIC
@ATTRIBUTE pm_ra NUMERIC
@ATTRIBUTE pm_dec NUMERIC
@ATTRIBUTE radial_velocity NUMERIC
@ATTRIBUTE ra_degrees NUMERIC
@ATTRIBUTE dec_degrees NUMERIC
@ATTRIBUTE b_magnitude NUMERIC
@ATTRIBUTE r_magnitude NUMERIC
@ATTRIBUTE g_magnitude NUMERIC
@ATTRIBUTE j_magnitude NUMERIC
@ATTRIBUTE h_magnitude NUMERIC
@ATTRIBUTE k_magnitude NUMERIC
@ATTRIBUTE i_magnitude NUMERIC
@ATTRIBUTE distance_pc NUMERIC

@DATA
'HIP 66725','K','III','High_Proper_Motion',6.18,5.9268,-68.92,8.733,-62.01,205.162823,28.065162,7.48,?,?,4.113,3.424,3.243,?,168.73
'HD 284739','G','V','Normal',11.19,4.7032,23.252,-38.447,4.161,72.41549,23.903715,11.79,?,?,9.426,9.107,9.007,?,212.62
'HR 7722','K','V','High_Proper_Motion',5.723,113.4872,1242.763,-181.175,-54.293,303.822464,-27.032975,6.63,?,?,4.11,3.582,3.5,?,8.81
'HR 1491','A','IV','High_Proper_Motion',5.952,21.0142,37.476,-133.853,-6.0,72.209805,75.94122,6.225,?,?,5.347,5.293,5.221,?,47.59
'HR 6442','G','III','Normal',5.763,9.5882,8.266,3.392,-5.25,260.779673,-56.525549,6.756,?,?,4.189,3.59,3.523,?,104.29
'HIP 78994','K','II','Normal',8.6,0.6272,-15.364,-36.753,15.44,241.86355,24.908315,9.95,?,?,5.538,5.023,4.638,?,1594.39
'HIP 54149','F','V','High_Proper_Motion',7.99,6.6976,-56.452,5.662,13.07,166.156937,-22.782747,8.52,?,?,7.004,6.79,6.706,?,149.31
'HIP 112270','F','V','High_Proper_Motion',8.81,11.9219,45.758,-31.137,-11.62,341.118306,-31.129836,9.35,?,?,7.824,7.548,7.494,?,83.88
'HIP 70874','K','III','Normal',6.06,5.8482,-27.95,-27.585,-16.54,217.404193,-76.729083,7.251,?,?,4.161,3.5,3.463,?,170.99
'HR 3933','A','V','Normal',6.312,6.951,-72.643,23.29,24.77,149.225384,-27.475155,6.481,?,?,5.937,5.844,5.803,?,143.86
'HD 195046','A','V','Normal',8.73,0.8947,-1.854,-6.246,?,306.554131,57.256706,8.94,?,?,8.214,8.226,8.239,?,1117.69
'HD 101264','F','V','Normal',9.37,5.7004,2.187,-16.284,2.05,174.731446,-39.326629,9.7,?,?,8.521,8.423,8.268,?,175.43
'HD 79842','F','V','Normal',9.68,6.8282,-20.342,-6.361,7.78,138.891801,-28.428731,10.17,?,?,8.757,8.579,8.55,?,146.45
'HIP 70754','A','V','Normal',9.46,0.8119,-3.682,-4.104,-26.3183,217.046309,55.371306,9.36,?,?,9.626,9.68,9.737,?,1231.68
'HIP 11843','F','V','Normal',5.988,34.1525,-20.534,49.072,9.1,38.225591,15.034536,6.541,?,?,5.089,4.637,4.584,?,29.28
'HIP 45012','G','V','High_Proper_Motion',9.39,16.0628,52.913,-8.992,-9.1,137.523856,75.61088,10.08,?,?,8.099,7.763,7.688,?,62.26
'HR 6492','F','III','High_Proper_Motion',4.269,29.1161,17.052,-137.966,37.7,261.838648,-29.867035,4.672,?,?,3.413,3.206,3.203,?,34.35
'HIP 18192','K','III','Normal',6.92,2.2499,5.228,-6.511,19.0,58.377304,-14.970559,8.5,?,?,4.129,3.245,3.066,?,444.46
'HIP 84610','Unknown','V','Normal',10.76,1.4209,1.379,-8.382,?,259.429329,-15.392121,11.97,?,?,7.835,7.111,6.91,?,703.78
'HD 317492','K','IV','Normal',9.69,1.9464,6.722,4.829,-53.75,276.549053,-28.336625,11.16,?,?,6.721,5.982,5.755,?,513.77
'HIP 40397','B','V','Normal',6.437,2.3934,-5.939,8.083,13.0,123.7135,-46.485892,6.274,?,?,6.46,6.387,6.265,?,417.82
'HIP 23341','A','V','Normal',8.53,3.5545,5.85,11.873,9.3,75.31437,-45.936394,8.61,?,?,8.377,8.382,8.402,?,281.33
'HIP 41065','B','II','Normal',7.229,0.7964,-4.97,4.483,?,125.690566,-31.607542,7.112,?,?,7.414,7.479,7.524,?,1255.65
'HIP 107769','A','V','Normal',8.54,3.089,16.676,7.436,?,327.492076,37.75392,8.63,?,?,8.335,8.312,8.309,?,323.73
'HD 310314','F','V','Normal',9.95,2.0321,-12.299,6.277,-14.86,164.012879,-69.562377,10.3,?,?,9.19,9.045,8.96,?,492.1
'HD 174140','A','V','Normal',8.1,1.1177,-0.673,-1.978,-18.9,282.184104,7.936497,8.23,?,?,7.694,7.664,7.649,?,894.69
'HD 356651','A','V','Normal',10.76,1.1618,6.251,-0.626,?,300.98642,10.544369,11.02,?,?,10.331,10.264,10.19,?,860.73
'HIP 83670','K','III','Normal',9.01,1.3357,3.192,-0.344,25.21,256.516656,-66.714613,10.29,?,?,6.742,6.098,5.929,?,748.67
'HR 5020','G','III','Normal',3.0,25.5286,67.956,-44.299,-4.861,199.730407,-23.171514,3.92,?,?,1.53,1.05,0.97,?,39.17
'HIP 64651','K','III','Normal',6.167,7.7994,-44.052,-21.739,-3.57,198.789408,-36.37141,7.147,?,?,4.859,4.17,4.155,?,128.21
'HIP 83160','G','V','Normal',8.05,3.8412,11.639,-4.528,-2.58,254.927892,58.597657,8.96,?,?,6.434,5.977,5.893,?,260.34
'HD 325978','K','V','Normal',10.79,1.3329,-5.708,-11.932,-19.24,250.590053,-43.785204,11.7,?,?,8.339,7.736,7.563,?,750.24
'HD 340256','G','V','Normal',10.02,3.8271,37.644,21.632,-27.6,306.258646,25.424236,10.64,?,?,9.026,8.692,8.622,?,261.29
'HD 146243','K','V','High_Proper_Motion',10.26,17.6238,-108.12,-48.986,-20.04,244.468,-54.166267,11.1,?,?,8.532,8.045,7.957,?,56.74
'HIP 6191','M','III','Normal',8.54,2.057,-0.622,-3.534,2.39,19.856909,56.329172,9.93,?,?,2.855,1.966,1.494,?,486.14
'HD 147471','K','III','Normal',9.23,7.4485,-32.516,-20.783,-44.25,245.617874,-6.864707,9.69,?,?,7.828,7.576,7.52,?,134.26
'HD 229516','K','V','Normal',9.78,5.9415,-6.613,-4.936,?,281.838458,13.459341,10.85,?,?,7.973,7.469,7.362,?,168.31
'HR 4327','A','V','Normal',5.24,11.255,-83.662,41.467,0.73,166.819541,-42.63868,5.25,?,?,4.994,5.004,4.964,?,88.85
'HD 20653','A','V','Normal',8.69,2.9522,7.251,-8.758,?,50.223015,38.885321,8.79,?,?,8.307,8.29,8.259,?,338.73
'HD 104755','F','V','High_Proper_Motion',?,13.9917,-151.358,-83.055,9.28,180.935171,5.55775,?,?,?,5.523,5.338,5.234,?,71.47
'HIP 67177','F','V','High_Proper_Motion',?,18.071,-192.898,-52.374,-20.413,206.501489,37.525006,8.14,?,?,6.548,6.344,6.294,?,55.34
'HD 161613','B','III','Normal',9.37,1.0747,-0.218,-4.821,?,267.09659,-39.446725,9.39,?,?,9.277,9.312,9.286,?,930.49
'HIP 27955','M','III','Normal',5.543,6.5078,-11.977,21.203,111.6,88.718679,-39.95786,7.055,?,?,2.606,1.772,1.591,?,153.66
'HR 4797','F','V','Normal',6.184,13.2558,30.202,-51.28,-2.0,188.994983,-20.527477,6.518,?,?,5.536,5.368,5.253,?,75.44
'HR 3017','K','III','Normal',3.61,2.946,-10.54,5.584,16.83,116.313734,-37.968585,5.34,?,?,0.68,-0.075,-0.47,?,339.44
'HD 136337','K','III','Normal',9.03,2.1286,-9.275,-4.2,22.95,230.478728,-46.322631,10.26,?,?,6.995,6.412,6.303,?,469.79
'HD 23001','M','V','Normal',9.01,1.4299,1.708,16.058,37.17,55.316628,-10.752311,10.45,?,?,3.606,2.595,2.151,?,699.35
'HIP 12663','A','V','Normal',8.23,3.4846,11.218,-1.629,?,40.673258,48.362994,8.43,?,?,7.784,7.694,7.671,?,286.98
'HR 3925','B','V','Normal',5.81,2.8712,-16.248,5.765,13.0,148.573563,-45.283513,5.68,?,?,6.044,6.142,6.135,?,348.29
'HR 6713','K','II','Normal',4.67,4.3043,-7.269,-10.923,-24.47,270.014235,16.750918,5.93,?,?,2.63,2.033,1.91,?,232.33
'HD 15604','G','V','Normal',8.59,2.6296,-8.421,-1.442,-14.68,38.043269,48.341373,9.66,?,?,6.561,6.088,5.974,?,380.29
'HIP 9279','G','V','High_Proper_Motion',8.04,5.9776,96.075,-105.398,-22.36,29.822979,79.698451,8.94,?,?,6.267,5.812,5.712,?,167.29
'HD 191169','M','V','Normal',9.55,1.4333,2.783,-0.637,?,302.561244,-42.474837,10.81,?,?,4.492,3.468,3.144,?,697.69
'HD 352852','G','V','Normal',9.08,2.1756,12.557,3.188,-40.26,310.932725,20.208163,9.96,?,?,7.371,6.916,6.826,?,459.64
'HIP 90576','A','III','Normal',6.5,6.8987,-6.078,-8.169,-10.56,277.238975,-26.582079,6.61,?,?,6.421,6.397,6.351,?,144.95
'HD 326637','F','V','Normal',10.5,0.5949,0.854,-0.852,?,255.102662,-41.71088,10.89,?,?,9.524,9.34,9.074,?,1680.95
'HD 173627','A','IV','Normal',9.53,2.5319,17.638,-29.057,?,282.413099,-56.956529,9.83,?,?,8.823,8.687,8.646,?,394.96
'HD 211027','F','V','Normal',9.51,5.0483,7.375,8.534,20.54,333.872561,-49.551031,9.96,?,?,8.659,8.558,8.47,?,198.09
'HD 127458','G','V','Normal',9.15,11.1722,-21.53,-44.27,-0.73,218.044756,-25.080528,9.74,?,?,8.058,7.919,7.717,?,89.51
'HIP 28768','F','V','High_Proper_Motion',8.05,13.0509,-11.875,95.714,-1.02,91.126512,-47.480629,8.53,?,?,7.109,6.886,6.823,?,76.62
'HD 65119','F','V','Normal',8.89,6.1511,-14.329,25.336,-9.79,117.13726,-77.151489,9.41,?,?,7.909,7.689,7.578,?,162.57
'HIP 82785','F','V','Normal',9.08,4.5221,-6.065,4.361,-6.96679,253.77414,46.927634,9.41,?,?,8.409,8.273,8.216,?,221.14
'HR 5883','B','III','Normal',3.946,15.9039,-16.008,-40.245,-16.3,237.739772,-33.627147,3.909,?,?,4.05,4.0,3.99,?,62.88
'HIP 84369','F','V','High_Proper_Motion',14.715,3.1733,10.767,-56.507,2.8014,258.729334,-79.066712,12.3,?,?,11.12,10.824,10.747,?,315.13
'HIP 64408','G','V','High_Proper_Motion',4.85,48.8691,-382.409,46.147,-13.04,198.013268,-37.803022,5.55,?,?,3.64,3.346,3.27,?,20.46
'HD 280252','B','V','Normal',9.79,1.0033,0.18,-5.407,18.985001,74.180523,36.119845,10.05,?,?,8.907,8.906,8.819,?,996.71
'HIP 69146','K','V','Normal',8.34,3.0464,-10.613,11.992,-12.69,212.332931,65.558461,9.42,?,?,6.509,5.959,5.88,?,328.26
'HD 94143','A','V','Normal',10.02,1.8101,-13.706,-4.02,-2.19,162.696986,-59.582772,10.36,?,?,9.366,9.231,9.169,?,552.46
'HIP 8811','K','III','Normal',9.516,2.2678,0.225,-5.972,10.57,28.309189,-74.627015,10.177,9.397,10.133,7.353,6.873,6.704,8.549,440.96
'HIP 37288','M','V','High_Proper_Motion',9.589,66.3374,-147.284,-245.682,20.23,114.845996,2.183665,11.055,9.315,10.731,6.769,6.092,5.872,8.404,15.07
'HIP 31718','A','V','Normal',8.88,1.9677,1.302,-11.795,?,99.526072,62.445229,9.09,?,?,8.286,8.255,8.23,?,508.21
'HIP 36432','G','V','High_Proper_Motion',?,14.2025,-79.603,-134.504,7.37,112.463522,78.206189,?,?,?,7.414,7.095,7.011,?,70.41
'HD 149315','G','III','Normal',9.9,6.6578,5.139,-36.977,-54.76,249.064309,-48.003351,10.59,?,?,8.683,8.389,8.266,?,150.2
'HIP 22141','G','IV','High_Proper_Motion',8.99,4.7798,49.32,-51.528,-7.43,71.466926,45.092381,10.11,?,?,6.677,6.114,5.965,?,209.21
'HD 199337','F','V','High_Proper_Motion',9.35,7.3402,48.334,63.895,-56.18,314.223635,-9.917479,9.71,?,?,8.413,8.205,8.183,?,136.24
'HD 58120','F','V','Normal',8.74,6.2587,-5.06,-11.216,0.26,111.421746,35.32204,9.17,?,?,7.802,7.62,7.574,?,159.78
'HD 79016','M','III','Normal',9.272,1.0847,-5.544,-0.195,9.21,137.637943,-28.184031,10.285,8.982,9.927,5.572,4.791,4.425,7.628,921.91
'HIP 109154','K','V','Normal',8.94,1.5482,-6.061,-10.774,-20.93,331.657966,12.196713,10.43,?,?,6.512,5.813,5.643,?,645.91
'HIP 5085','G','III','Normal',7.86,3.0584,-12.682,13.243,28.44,16.285608,-37.563585,8.8,?,?,6.182,5.682,5.541,?,326.97
'HR 5281','B','I','Normal',6.5,0.432,-2.249,-0.315,2.0,211.604824,-59.715904,6.64,8.72,9.74,6.128,6.088,6.065,7.55,2314.81
'HIP 113105','K','V','Normal',6.603,7.7558,8.38,-24.397,-58.34,343.575361,17.794996,7.613,?,?,5.237,4.529,?,?,128.94
'HD 268867','B','I','Normal',11.399,0.0436,2.153,-0.078,246.0,74.453755,-69.872916,11.392,?,?,11.569,11.566,11.6,?,22935.78
'HIP 62518','M','V','Normal',10.22,0.9439,-4.717,3.186,-13.23,192.180844,-19.505611,11.49,?,?,3.853,2.881,2.509,?,1059.43
'HIP 12792','Unknown','V','Normal',10.4,0.5412,8.294,-3.039,-0.51,41.100128,-51.553004,10.44,?,?,10.287,10.283,10.256,?,1847.75
'HD 136989','G','V','Normal',9.98,6.3298,-34.796,-0.474,-22.5,231.176616,-33.810459,10.56,?,?,8.726,8.458,8.402,?,157.98
'HD 18358','K','II','High_Proper_Motion',8.86,5.5235,-32.889,-63.865,?,44.341172,10.480681,9.3,?,?,8.029,7.869,7.821,?,181.04
'HD 19683','M','III','Normal',7.47,2.9868,4.584,-11.778,?,48.133167,56.149104,9.23,?,?,3.407,2.463,2.101,?,334.81
'HIP 85498','A','V','Normal',8.19,1.959,-2.521,0.743,-20.91,262.088775,30.2452,8.13,?,?,8.236,8.266,8.273,?,510.46
'HR 5840','G','III','Normal',5.991,7.1383,21.853,-16.611,3.96,235.246252,16.024589,6.896,?,?,4.274,3.863,3.85,?,140.09
'HIP 67826','A','V','Normal',8.31,2.9039,1.536,9.669,?,208.41084,69.232457,8.56,?,?,7.756,7.641,7.619,?,344.36
'HIP 26997','G','V','Normal',7.32,4.2694,32.61,-29.02,-52.15,85.909029,55.328891,8.32,?,?,5.489,4.951,4.861,?,234.22
'HD 40070','A','II','Normal',10.28,2.5927,7.055,10.16,?,89.035643,-11.950022,10.43,?,?,9.77,9.688,9.633,?,385.7
'HD 236528','K','V','Normal',8.4,1.4882,-9.061,-3.109,-47.38,11.923711,58.01577,10.089,?,?,5.652,4.399,4.405,?,671.95
'HD 6755','G','V','Normal',?,6.3703,633.813,67.168,-315.95,17.429407,61.547296,8.4,?,?,6.197,5.759,5.662,?,156.98
'HIP 46998','F','V','Normal',10.12,4.4648,-4.962,-26.047,-25.482599,143.68325,43.388728,10.58,?,?,9.206,9.062,8.977,?,223.97
'HIP 108301','A','V','Normal',?,2.89,22.29,-0.08,21.620399,329.113858,59.795104,?,?,?,6.639,6.626,6.626,?,346.02
'HR 8464','A','V','Normal',6.182,15.7434,-27.017,-27.546,18.35,333.239515,-26.327792,6.351,?,?,5.842,5.848,5.735,?,63.52
'HIP 40169','F','V','High_Proper_Motion',7.92,14.0453,-49.458,-14.923,13.166,123.056437,2.289219,8.36,?,?,7.148,6.915,6.861,?,71.2
'HD 220964','G','V','Normal',7.97,2.771,-16.852,-12.927,-3.36,352.00287,21.362123,8.74,?,?,6.555,6.181,6.136,?,360.88
'HR 4601','G','III','Normal',6.45,3.5872,-14.938,-3.58,9.16,180.93544,-74.214095,7.646,?,?,4.224,3.595,3.439,?,278.77
'HD 76185','G','V','Normal',8.94,6.1651,-8.975,-0.115,?,133.192354,-47.332963,9.55,?,?,7.775,7.509,7.446,?,162.2
'HR 5017','A','II','Normal',4.698,12.7783,-125.614,18.386,8.62,199.385588,40.572607,5.01,?,?,4.059,4.018,4.013,?,78.26
'HD 349366','A','V','Normal',10.84,2.0486,-5.252,-5.962,?,281.579188,20.127685,11.14,?,?,10.069,9.94,9.896,?,488.14
'HIP 13205','K','III','Normal',8.57,2.4823,-8.461,2.35,-15.67,42.487544,59.240088,9.77,?,?,6.32,5.737,5.63,?,402.85
'HIP 1970','G','V','High_Proper_Motion',7.61,10.2796,87.167,4.509,1.66,6.234892,-41.886029,8.45,?,?,6.179,5.777,5.687,?,97.28
'HD 161496','A','V','Normal',9.93,1.8325,1.566,-6.352,?,267.193974,-52.780449,10.16,?,?,9.563,9.483,9.419,?,545.7
'HIP 49595','F','V','Normal',8.42,4.1506,-17.261,-3.773,-2.2,151.863162,-43.122438,8.85,?,?,7.419,7.21,7.146,?,240.93
'HIP 30652','B','V','Normal',10.93,0.6372,-1.008,-1.561,?,96.611254,7.12933,10.91,?,?,10.404,10.378,10.365,?,1569.37
'HD 100443','G','V','High_Proper_Motion',9.12,9.2752,-71.932,-0.016,60.67,173.230113,-62.443095,9.69,?,?,7.932,7.615,7.545,?,107.81
'HIP 96930','Unknown','V','Normal',10.44,2.0766,4.793,-11.492,?,295.552589,-29.626993,10.86,?,?,9.314,9.132,9.036,?,481.56
'HIP 43875','M','III','Normal',7.37,2.2598,-14.242,11.866,34.48,134.071492,-60.471967,9.02,?,?,4.215,3.276,3.03,?,442.52
'HD 37454','G','V','High_Proper_Motion',8.52,8.082,44.949,-77.689,-16.01,84.770974,7.544286,9.18,?,?,7.326,7.08,6.967,?,123.73
'HR 4619','B','V','Normal',6.362,8.6331,-33.466,-10.236,11.0,182.020276,-50.763647,6.305,?,?,6.45,6.469,6.452,?,115.83
'HD 289234','A','V','Normal',10.68,1.5787,-1.244,-2.4,?,102.552748,0.786023,10.76,?,?,10.324,10.261,10.232,?,633.43
'HD 129987','K','V','Normal',8.02,3.2607,11.91,-12.164,8.08,221.194068,32.12969,9.04,?,?,6.31,5.844,5.745,?,306.68
'HIP 34526','K','V','Normal',8.78,3.0564,-21.272,-7.139,6.99,107.31177,-7.070479,9.86,?,?,6.851,6.342,6.173,?,327.18
'HD 61301','F','V','Normal',9.11,6.9524,-9.415,12.89,34.2,114.53132,-13.310908,9.53,?,?,8.291,8.106,8.049,?,143.84
'HD 266512','F','V','Normal',9.24,7.6888,5.972,-4.796,16.96,104.164588,27.361517,9.66,?,?,8.337,8.171,8.141,?,130.06
'HD 66016','B','V','Normal',9.91,0.6081,-3.099,0.216,?,120.227577,-20.339166,9.98,?,?,9.835,9.834,9.8,?,1644.47
'HD 257665','A','V','Normal',10.57,1.8343,-0.407,-3.321,?,96.87319,4.022033,10.75,?,?,10.068,10.017,9.955,?,545.17
'HD 239360','K','V','Normal',9.55,1.7001,2.52,1.738,-27.16,303.896079,55.889014,10.61,?,?,7.884,7.412,7.329,?,588.2
'HR 876','K','III','Normal',6.028,4.0301,-5.96,-16.821,-43.43,44.509698,38.614926,7.455,?,?,3.824,3.099,2.888,?,248.13
'HIP 65551','A','V','High_Proper_Motion',6.68,8.0506,-50.146,-18.393,?,201.56952,-48.786588,6.71,?,?,6.652,6.729,6.653,?,124.21
'HD 201193','F','V','Normal',7.9,8.8692,-54.152,-68.382,-15.3,316.733281,36.254699,8.41,?,?,6.845,6.652,6.599,?,112.75
'HD 97824','F','V','Normal',8.49,6.8144,5.796,12.528,7.81,168.668056,-53.530508,9.0,?,?,7.521,7.279,7.199,?,146.75
'HD 204297','G','V','Normal',9.54,8.9394,44.555,-1.361,-20.71,321.965435,-12.628296,10.09,?,?,8.488,8.256,8.171,?,111.86
'HR 1905','F','V','High_Proper_Motion',5.525,19.3993,42.771,-33.508,28.8363,84.265565,17.040327,5.775,?,?,5.062,5.002,4.935,?,51.55
'HIP 107379','K','III','High_Proper_Motion',7.03,4.4235,49.365,19.856,-34.66,326.230518,-9.036318,8.45,?,?,4.794,4.039,3.886,?,226.07
'HD 63113','A','V','Normal',9.37,3.2363,-7.149,5.682,?,116.657859,-17.15289,9.75,?,?,8.534,8.365,8.344,?,308.99
'HD 52851','F','V','Normal',10.6,2.0428,0.262,-3.138,?,105.405868,-28.14213,10.83,?,?,10.157,10.087,10.051,?,489.52
'HIP 92099','K','III','High_Proper_Motion',8.91,3.1671,20.548,-47.22,-52.7,281.554638,-57.081648,9.98,?,?,6.936,6.377,6.234,?,315.75
'HD 79193','A','V','Normal',6.098,11.7179,-19.542,10.7,-4.3,138.108544,-7.109805,6.328,?,?,5.654,5.632,5.544,?,85.34
'HR 3041','M','III','Normal',6.14,4.9467,-3.148,-26.803,23.28,117.035615,-40.652379,7.709,?,?,2.539,1.714,1.447,?,202.15
'HIP 73585','G','V','Normal',8.67,2.8251,-20.571,8.055,-41.92,225.621889,47.743384,9.83,?,?,6.728,6.191,6.062,?,353.97
'HIP 71471','F','V','Normal',8.21,8.6255,11.006,-13.784,?,219.256251,-28.721836,8.62,?,?,7.332,7.152,7.086,?,115.94
'HD 316337','K','V','Normal',9.25,1.6384,15.7,0.762,-8.65,266.707397,-29.885745,10.75,?,?,6.377,5.573,5.333,?,610.35
'HD 318581','K','V','Normal',10.72,9.3904,25.223,-9.844,?,269.323317,-31.149652,11.26,?,?,9.105,8.706,8.631,?,106.49
'HD 332794','F','V','Normal',10.78,2.4122,7.959,-6.044,?,298.093527,30.682642,10.98,?,?,10.057,9.925,9.901,?,414.56
'HIP 19760','A','V','Normal',8.15,7.0176,16.132,10.059,16.18,63.549478,-24.205184,8.42,8.866,9.435,7.563,7.497,7.424,8.255,142.5
'HR 1862','K','II','Normal',3.87,11.73,27.627,-32.416,-4.9,82.803115,-35.470507,5.01,?,?,2.0,1.472,1.28,?,85.25
'HIP 97740','G','III','Normal',8.46,3.1221,-7.528,-7.527,44.47,297.937785,-17.267462,9.53,?,?,6.31,5.788,5.649,?,320.3
'HIP 34271','G','V','High_Proper_Motion',8.27,23.2381,-92.256,-78.736,42.897,106.570009,22.683487,8.95,?,?,6.989,6.708,6.613,?,43.03
'HIP 49732','F','IV','Normal',8.47,5.7813,-38.95,-18.828,-16.367,152.289357,-70.366165,9.01,?,?,7.311,7.035,6.941,?,172.97
'HIP 74649','K','III','Normal',5.337,6.3077,-17.768,4.496,-34.21,228.79732,4.939355,6.413,?,?,3.512,2.853,2.622,?,158.54
'HIP 62228','K','III','Normal',8.24,2.4422,-33.341,-6.756,-11.2,191.311115,-46.934731,9.23,?,?,6.488,6.016,5.9,?,409.47
'HIP 90372','F','V','Normal',9.649,5.8048,21.059,22.298,-20.96,276.608015,43.433801,10.394,9.561,10.455,8.686,8.439,8.379,9.428,172.27
'HIP 19758','F','V','Normal',6.8,20.4688,177.891,-105.099,31.2,63.540242,-46.132419,7.35,?,?,5.705,5.456,5.367,?,48.85
'HIP 59227','G','IV','High_Proper_Motion',9.05,15.2683,-40.712,-59.853,13.2,182.214887,-78.10025,9.84,?,?,7.669,7.271,7.182,?,65.5
'HIP 112382','K','V','High_Proper_Motion',?,16.2137,162.789,117.619,-16.03,341.424035,41.20291,?,?,?,7.648,7.317,7.252,?,61.68
'HR 3640','G','III','Normal',6.011,8.176,3.035,5.08,-3.24,137.58691,21.996417,6.897,?,?,4.567,4.085,4.089,?,122.31
'HR 8055','K','III','Normal',5.163,7.7236,15.421,-37.115,13.2,316.30937,-54.727042,6.368,?,?,3.352,2.687,2.545,?,129.47
'HIP 93347','F','V','Normal',8.06,5.9958,23.623,38.501,-23.68,285.20131,57.813075,8.47,?,?,7.187,7.049,6.979,?,166.78
'HIP 17145','M','III','Normal',7.36,1.7523,3.783,-14.815,36.97,55.081521,-43.240816,9.0,?,?,3.964,2.968,2.746,?,570.68
'HIP 67599','A','V','High_Proper_Motion',8.15,4.4005,-65.454,26.413,66.0,207.771882,-2.796696,8.22,?,?,7.997,8.043,7.962,?,227.25
'HIP 98172','A','V','High_Proper_Motion',8.47,6.0423,16.068,-54.804,?,299.258467,-24.337105,8.8,?,?,7.744,7.621,7.546,?,165.5
'HIP 11860','K','II','Normal',8.72,2.376,3.627,6.755,-11.33,38.265767,-16.038984,9.95,?,?,6.668,6.08,5.916,?,420.88
'HD 5388','F','V','High_Proper_Motion',6.72,18.8432,-80.39,-178.083,39.25,13.799541,-47.405966,7.21,?,?,5.795,5.524,5.441,?,53.07
'HR 1982','K','V','Normal',6.15,112.4661,-304.905,-352.606,-9.73,86.11057,-22.421837,7.09,?,?,4.845,4.158,4.13,?,8.89
'HIP 56504','K','III','High_Proper_Motion',7.21,5.7282,-87.44,-7.411,12.59,173.756772,-30.031859,8.29,?,?,5.409,4.98,4.735,?,174.57
'HIP 7729','B','V','Normal',8.02,3.936,-14.695,-21.313,?,24.877675,52.266754,8.18,?,?,7.615,7.597,7.535,?,254.07
'HIP 83189','F','V','High_Proper_Motion',8.33,11.6422,42.034,-51.111,47.34,255.032044,40.350762,8.75,?,?,7.376,7.159,7.125,?,85.89
'HIP 13179','K','V','High_Proper_Motion',?,27.3353,-14.763,-183.859,-23.38,42.396438,75.023556,?,9.491,10.71,7.65,7.143,7.005,8.947,36.58
'HR 3064','G','V','Normal',?,60.59,-67.75,-346.66,-21.34,117.942929,-13.898032,?,?,?,4.109,3.695,3.73,?,16.5
'HIP 91437','K','V','Normal',9.05,2.1564,1.299,-5.019,-24.523,279.720542,5.337919,10.1,?,?,6.965,6.455,6.307,?,463.74
'HIP 103463','F','V','Normal',11.14,4.4749,-18.616,-13.489,46.97,314.427886,-35.746562,11.71,?,?,9.913,9.689,9.593,?,223.47
'HIP 48258','K','V','Normal',8.82,7.0329,39.103,-30.273,-17.32,147.570644,66.819469,9.89,?,?,7.06,6.601,6.446,?,142.19
'HR 612','B','III','Normal',4.69,9.4034,1.849,11.772,18.5,31.12269,-29.296805,4.52,?,?,5.0,5.048,5.015,?,106.34
'HIP 93612','A','V','Normal',8.13,3.7436,5.972,-4.317,-26.040199,285.953114,41.974269,8.19,?,?,8.0,8.046,8.016,?,267.12
'HR 58','G','III','Normal',?,5.2551,-16.569,-2.105,16.56,3.978735,-75.911615,?,?,?,5.165,4.429,4.191,?,190.29
'HIP 91657','F','I','Normal',8.75,0.5125,0.306,-0.802,4.25,280.362923,-10.396388,10.02,?,?,6.03,5.537,5.343,?,1951.22
'HD 206397','F','IV','High_Proper_Motion',7.09,7.6283,54.093,-23.462,?,326.060303,-62.114208,7.42,?,?,6.43,6.254,6.18,?,131.09
'HR 5927','F','V','Normal',6.324,15.7024,44.151,-77.776,8.0,239.06007,-14.399408,6.793,?,?,5.389,5.193,5.109,?,63.68
'HIP 90867','B','IV','Normal',7.98,4.0311,-7.858,-15.873,-6.83,278.049148,-9.370358,8.24,?,?,7.138,7.03,6.929,?,248.07
'HIP 95573','G','V','High_Proper_Motion',9.34,8.7837,51.582,-30.93,33.48,291.60178,-38.234466,9.97,?,?,8.126,7.918,7.838,?,113.85
'HR 3700','K','III','Normal',6.319,4.0669,-23.933,12.032,-8.53,139.426186,-54.494828,7.714,?,?,3.992,3.174,3.035,?,245.89
'HIP 112708','A','V','Normal',7.87,2.6666,11.672,-2.593,25.7,342.368312,-34.98434,7.85,?,?,7.846,7.931,7.887,?,375.01
'HIP 74999','M','III','Normal',6.59,2.8829,-13.715,-11.597,32.33,229.871032,-71.792041,8.26,?,?,2.677,1.76,1.527,?,346.87
'HD 305982','A','V','Normal',10.96,0.3362,-6.124,1.625,?,166.229066,-60.76113,10.99,?,?,10.857,10.894,10.924,?,2974.42
'HIP 96589','B','II','Normal',9.77,1.4852,0.627,-2.41,?,294.543772,1.764979,9.94,?,?,9.206,9.153,9.134,?,673.31
