@RELATION stars

@ATTRIBUTE object_id STRING
@ATTRIBUTE spectral_class NUMERIC
@ATTRIBUTE luminosity_class NUMERIC
@ATTRIBUTE motion_type NUMERIC
@ATTRIBUTE v_magnitude NUMERIC
@ATTRIBUTE parallax NUMERIC
@ATTRIBUTE pm_ra NUMERIC
@ATTRIBUTE pm_dec NUMERIC
@ATTRIBUTE radial_velocity NUMERIC
@ATTRIBUTE ra_degrees NUMERIC
@ATTRIBUTE dec_degrees NUMERIC
@ATTRIBUTE b_magnitude NUMERIC
@ATTRIBUTE r_magnitude NUMERIC
@ATTRIBUTE g_magnitude NUMERIC
@ATTRIBUTE j_magnitude NUMERIC
@ATTRIBUTE h_magnitude NUMERIC
@ATTRIBUTE k_magnitude NUMERIC
@ATTRIBUTE i_magnitude NUMERIC
@ATTRIBUTE distance_pc NUMERIC

@DATA
'HIP 115111','K','III','Normal',8.88,3.2449,-5.735,-3.617,44.53,349.723997,-46.162604,9.97,?,?,7.072,6.552,6.414,?,308.18
'HIP 44730','F','V','Normal',8.91,5.4386,-42.373,-4.552,57.71,136.716681,-23.32747,9.39,?,?,7.858,7.659,7.63,?,183.87
'HD 324945','G','V','Normal',9.4,1.8067,4.522,-4.48,-33.28,272.36148,-37.866659,10.56,?,?,7.462,6.922,6.775,?,553.5
'HR 5393','F','IV','Normal',?,10.4272,-77.758,-22.874,-35.8,216.170219,-11.669704,?,?,?,5.707,5.552,5.446,?,95.9
'HD 343425','K','V','Normal',8.65,3.2238,-3.058,-20.24,-20.55,284.144115,21.827548,9.85,?,?,6.461,5.899,5.79,?,310.19
'HIP 39514','K','III','Normal',6.4,3.0454,-15.083,-15.714,-0.15,121.135997,-25.699736,8.01,?,?,3.725,2.857,2.598,?,328.36
'HIP 12177','K','V','Normal',8.71,1.9189,15.474,-1.396,58.81,39.224217,30.172695,9.9,?,?,6.619,6.008,5.899,?,521.13
'HD 141806','G','V','Normal',9.68,5.5047,-17.422,30.284,-55.3,238.602846,-61.51817,10.32,?,?,8.32,7.966,7.918,?,181.66
'HIP 86373','F','III','Normal',6.123,10.3186,-22.331,47.998,8.14,264.741063,13.329253,6.678,?,?,5.005,4.769,4.697,?,96.91
'HD 125207','B','II','Normal',9.78,1.2189,-5.173,-2.174,?,215.093181,-62.41545,9.94,?,?,9.329,9.275,9.207,?,820.41
'HIP 101524','G','III','Normal',8.8,2.3337,-4.537,-9.656,28.68,308.610645,-63.661893,9.82,?,?,7.044,6.504,6.416,?,428.5
'HIP 38252','A','V','Normal',8.2,3.282,-6.798,-0.204,-10.6602,117.543643,19.409123,8.28,?,?,7.904,7.894,7.861,?,304.69
'HIP 51808','G','III','Normal',4.853,13.0453,-20.219,1.482,16.352699,158.772876,75.712902,5.807,?,?,3.564,3.088,2.817,?,76.66
'HIP 53568','F','V','Normal',8.59,?,-11.63,13.68,-0.7,164.377443,-11.089183,8.92,?,?,7.639,7.522,7.443,?,?
'HD 124334','A','III','Normal',10.0,2.1716,-9.357,-5.17,?,213.527334,-44.02501,10.2,?,?,9.769,9.749,9.715,?,460.49
'HIP 71885','B','V','Normal',8.68,3.1086,-12.197,-9.54,?,220.545144,-57.80589,8.75,?,?,8.396,8.387,8.383,?,321.69
'HIP 107339','F','V','Normal',6.6,22.0494,-12.78,24.215,9.5,326.105899,46.862832,7.0,?,?,5.78,5.667,5.556,?,45.35
'HD 106775','K','III','Normal',8.04,3.4776,-10.094,-12.446,11.11,184.183711,-2.739548,9.03,?,?,6.315,5.843,5.708,?,287.55
'HIP 34135','B','I','Normal',9.04,0.4289,-1.495,0.879,?,106.167437,-8.845862,9.42,9.03,9.88,7.657,7.616,7.573,8.52,2331.55
'HD 38554','G','V','Normal',9.39,12.3008,40.764,-10.415,-0.27,86.250994,-35.798122,10.09,?,?,8.131,7.814,7.705,?,81.3
'HD 200775','B','V','Normal',7.427,2.8175,7.597,-2.821,-3.4,315.403836,68.163275,7.754,8.65,?,6.111,5.465,4.651,7.75,354.92
'HIP 86682','G','III','Normal',9.28,1.7589,-5.139,-11.095,7.11,265.665619,-34.828801,10.36,?,?,7.247,6.745,6.566,?,568.54
