object_id,spectral_class,v_magnitude,parallax,pm_ra,pm_dec,radial_velocity,ra_degrees,dec_degrees,b_magnitude,r_magnitude,g_magnitude,j_magnitude,h_magnitude,k_magnitude,i_magnitude,distance_pc,luminosity_class_I,luminosity_class_II,luminosity_class_III,luminosity_class_IV,luminosity_class_V,motion_type_High_Proper_Motion,motion_type_Normal
HR 635,G,-1.6118872895879475,1.3405271957545797,-1.0428462368668143,-1.03108597294157,-0.6798583084489463,-1.454036620622598,0.30412414118191927,-1.6450219313821082,-0.022311163280707983,-0.031096782676706108,-1.149294613713233,-1.0985447778670465,-1.069907882155811,-0.005871811388851725,-0.4175065350227027,0,0,0,1,0,1,0
HIP 31683,M,-0.4441795678667002,-0.39759227747999937,-0.043702249975493074,-0.09752250828229682,-0.9938770889651843,-0.8032391725912293,-0.335667370697273,0.18755699025653075,-0.022311163280707983,-0.031096782676706108,-1.3015394073517477,-1.5572194757761324,-1.5577728878050736,-0.005871811388851725,0.14444776204770227,0,0,1,0,0,0,1
HIP 19651,K,0.09604108631038946,-0.30611397232625404,-0.04403081942664798,0.11921989665472918,-0.29253479985036485,-1.1577186112834064,0.5358244212716117,0.558667475834268,-0.022311163280707983,-0.031096782676706108,-0.6237718874992246,-0.7149938097274041,-0.755363339039839,-0.005871811388851725,-0.09038943811676087,0,0,0,0,1,0,1
HIP 42621,A,0.4700400007406827,-0.4012349385231713,-0.10153047337875826,0.14357177578824415,-0.008235093979677902,-0.5016990535133166,0.4779859307617022,0.15810377711544005,-0.022311163280707983,-0.031096782676706108,0.8926064890066444,0.9568591329056116,0.9668368124814308,-0.005871811388851725,0.16005573486229982,0,0,0,0,1,0,1
HD 64586,B,0.9390227664548588,-0.4148553232932927,-0.07747347530289399,0.15942185852251442,-0.008235093979677902,-0.6151384786090744,0.11186460532939461,0.5645581184624859,-0.022311163280707983,-0.031096782676706108,1.5157479699456802,1.5569157570267553,1.5619954377941594,-0.005871811388851725,0.22626628045870706,0,0,0,1,0,0,1
HIP 11292,F,-0.23046590247796125,-0.1766173722414898,0.24546029548329948,0.04199880624450408,0.3189186116729875,-1.4196331280191097,1.2384196411633015,-0.3602727741677497,-0.022311163280707983,-0.031096782676706108,0.026176816239948532,0.12116596509770441,0.11995084872749426,-0.005871811388851725,-0.222530213705865,0,0,0,1,0,0,1
HIP 63669,F,0.8084199709395181,-0.322450515222045,0.017033098789077567,0.1349097696578579,-0.30220551913449795,0.13791849883973972,1.258171448997434,0.7177148267961553,-0.022311163280707983,-0.031096782676706108,0.9689817841542048,0.9517264557163946,0.9640856940285214,-0.005871811388851725,-0.06271668171846564,0,0,0,0,1,0,1
HD 141691,G,-0.35513220728805883,-0.27968884210654765,0.0725899072908805,-0.041833605737495456,-0.23051844244229827,0.5452000098851248,0.6817852752094625,-0.1599909248083347,-0.022311163280707983,-0.031096782676706108,-0.49479374006460236,-0.5236849326747843,-0.5261034679640576,-0.005871811388851725,-0.1278956658932185,0,0,0,0,1,0,1
HIP 33370,B,0.9805782013915583,-0.45142447263539753,-0.05583789122575833,0.22050448868241446,-0.008235093979677902,-0.7576590679237631,-0.6113932578745495,0.5351049053213962,-0.022311163280707983,-0.031096782676706108,1.555200109160976,1.6073093148845188,1.6243541227267715,-0.005871811388851725,0.5010540604639829,0,0,0,0,1,0,1
HD 279077,G,1.5861002533263178,-0.1340457510065059,0.27033871718705105,0.24134243437955819,-0.20264592225889766,-1.208889626397207,0.9876507611257729,1.742686644106098,-0.022311163280707983,-0.031096782676706108,1.4247045717565354,1.3236122484259996,1.3098095796107996,-0.005871811388851725,-0.24771376754321142,0,0,0,0,1,0,1
HIP 95966,K,0.6421982311927217,-0.3328875309935682,-0.0922805290473318,0.18946652343592565,-0.23295728795834586,1.0857540059250972,-0.1394965766071437,1.0358095287199311,-0.022311163280707983,-0.031096782676706108,-0.08509844821345064,-0.24278750831947468,-0.28583912307663867,-0.005871811388851725,-0.04279184860672712,0,0,1,0,0,0,1
HD 107768,A,0.4225480750987407,-0.3248024072433974,-0.21432979452307196,0.1277110124052311,-0.008235093979677902,0.04075219729838319,-0.6989631329748044,0.1934476328847487,-0.022311163280707983,-0.031096782676706108,0.7181066424774497,0.7524852593713494,0.7614199679975305,-0.005871811388851725,-0.05838860879717635,0,0,0,0,1,0,1
HIP 74507,K,0.22664388182573017,-0.3389295970282209,-0.012359581460976316,0.20043554969475016,-0.5646402781408139,0.4569586405137802,0.4879983437108469,0.458526551154561,-0.022311163280707983,-0.031096782676706108,-0.06183180200955792,-0.1443334276899556,-0.151034318884079,-0.005871811388851725,-0.03032341055368655,0,0,0,0,1,0,1
HIP 109786,K,0.15540599336281669,0.5628903324925526,0.13816094123875286,0.7796364503664095,-0.8499852035183783,1.4849673540525903,-0.43723786821478106,0.1522131344872221,-0.022311163280707983,-0.031096782676706108,-1.6414347605912216,-1.613212317840314,-1.5045845977154924,-0.005871811388851725,-0.384373230664128,0,0,1,0,0,0,1
HD 29280,G,-0.266084846709418,0.17707709622215564,0.0753827476256973,-0.4548008893766868,-0.43259421377195323,-1.0681615777840225,2.1067555323746396,-0.01861550173110219,-0.022311163280707983,-0.031096782676706108,-0.4573647874757318,-0.5017544028663135,-0.5128063954416623,-0.005871811388851725,-0.341384029679094,0,0,0,0,1,1,0
HD 313773,A,2.007591093398553,-0.4681807134339887,-0.05118791921050072,0.1674323450795917,-0.008235093979677902,0.8775963896823207,-0.44417460775361867,1.6602176473110457,-0.022311163280707983,-0.031096782676706108,1.8242839304755596,1.7463582060105691,1.7160580711570845,-0.005871811388851725,0.7162691683687148,0,0,0,0,1,0,1
HIP 100583,K,0.5614619576014209,0.17803527445307699,0.0582328508382418,-0.3979050735239525,-0.008235093979677902,1.2150819612463186,1.1345351548722933,0.6635209146165499,-0.022311163280707983,-0.031096782676706108,0.5815415451937327,0.5541772770607071,0.5610468406772979,-0.005871811388851725,-0.34155221904132027,0,0,0,0,1,0,1
HIP 109157,B,-0.7552516808214199,-0.2588385670485654,0.03409728180666657,0.1738941375689674,0.12206893787772026,1.4663115383013388,1.3853939405561206,-1.1831955493298123,-0.022311163280707983,-0.031096782676706108,0.08737821168931836,0.2620812842925607,0.319865456305576,-0.005871811388851725,-0.15257465164388614,0,0,0,0,1,0,1
